department,ytd_sales,ly_sales
C&B,778251.79,2362281.12
CHAIRSIDE SERVICES,368759.26,1139433.19
IMPLANTS,211784.73,627645.84
Removables,150255.18,535053.35
PARTIAL,95311.26000000001,263212.15
SPLINTS,80718.04,285925.84
Surgical Guides,27590.89,75697.45999999999
IMPLANT PT,22159.39,71857.44
Alloy,20089.96,53687.55
MISC,18276.39,59880.08
ORTHO,13345.99,24138.0
DELIVERY,3086.0,14433.0
Ortho,2560.99,9862.75
Sales,1593.76,10365.2
