yearmonth,total,remakes,remake_rate
Q1,1376099.32,83175.95999999999,6.04
Q2,418164.30000000005,19891.39,4.76
Q3,0.0,0.0,0.0
Q4,0.0,0.0,0.0
YTD,1794263.62,103067.35,5.74
