account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct
PURRAJ,4924.5,0.0,0.0,0.0,5,0.0,0.0
CLELESMOK,4923.41,0.0,0.0,0.0,8,0.0,0.0
LIBSTE,4920.97,0.0,0.0,0.0,4,0.0,0.0
CHASUS,4914.5,0.0,0.0,0.0,5,0.0,0.0
SMYEMI,4910.0,528.0,1434.0,0.0,1,-63.2,0.0
MOSTOM,4904.96,0.0,0.0,0.0,4,0.0,0.0
BELGRE,4899.9400000000005,0.0,0.0,0.0,4,0.0,0.0
HUGMAR,4886.79,0.0,0.0,0.0,3,0.0,0.0
HARSCO,4885.0,0.0,0.0,0.0,4,0.0,0.0
BEHBRIEV,4868.63,0.0,0.0,0.0,5,0.0,0.0
JOHCOLAR,4866.0,0.0,0.0,0.0,2,0.0,0.0
MANGEOOB,4857.9,0.0,0.0,0.0,7,0.0,0.0
WARWIL,4844.98,0.0,4844.98,0.0,5,-100.0,0.0
PULPETCC,4842.63,0.0,0.0,0.0,6,0.0,0.0
COLCHR,4831.5,0.0,0.0,0.0,4,0.0,0.0
KENMAR,4830.24,0.0,0.0,0.0,6,0.0,0.0
CONPHI,4808.0,0.0,0.0,0.0,4,0.0,0.0
BOSAND,4806.25,0.0,0.0,0.0,6,0.0,0.0
LENLAW,4806.16,0.0,0.0,0.0,4,0.0,0.0
GULGRE,4788.96,0.0,0.0,0.0,2,0.0,0.0
PPWADAMY,4786.95,0.0,0.0,0.0,5,0.0,0.0
KOCJEN,4785.47,0.0,0.0,0.0,3,0.0,0.0
APPJOELG,4784.47,0.0,0.0,0.0,4,0.0,0.0
RAOPOO,4783.82,562.98,476.98,0.0,5,18.0,0.0
MCKPAT,4779.96,0.0,0.0,0.0,3,0.0,0.0
BEAJOH,4774.360000000001,2999.9300000000003,1774.43,0.0,5,69.1,0.0
KONJONCLY,4770.12,0.0,0.0,0.0,6,0.0,0.0
STOJEF,4765.49,0.0,0.0,0.0,4,0.0,0.0
WANTHESCH,4760.0,0.0,0.0,0.0,3,0.0,0.0
HRARIC,4759.0,0.0,0.0,0.0,3,0.0,0.0
FELROB,4756.0,0.0,0.0,0.0,3,0.0,0.0
SADAFFMOK,4753.75,0.0,0.0,0.0,5,0.0,0.0
JAGSTE,4746.79,0.0,0.0,0.0,5,0.0,0.0
SLAMICCS,4739.839999999999,291.97,1158.93,0.0,7,-74.8,0.0
CRATHO,4717.62,0.0,0.0,0.0,6,0.0,0.0
PARMAU,4714.21,0.0,0.0,0.0,8,0.0,0.0
MAZANNFF,4713.48,0.0,0.0,0.0,4,0.0,0.0
HILEMLBUR,4703.47,0.0,0.0,0.0,5,0.0,0.0
CHAJEF,4702.99,0.0,0.0,0.0,4,0.0,0.0
BEEALL,4700.75,0.0,0.0,0.0,8,0.0,0.0
TUCAAROL,4696.99,528.0,1335.0,0.0,5,-60.4,0.0
OCOKEL,4690.99,0.0,0.0,0.0,4,0.0,0.0
RUGNIC,4688.23,0.0,0.0,0.0,5,0.0,0.0
BERAGAR,4671.25,0.0,0.0,0.0,3,0.0,0.0
JOHDAN,4666.5,0.0,0.0,0.0,4,0.0,0.0
DAWTHO,4662.0,0.0,0.0,0.0,2,0.0,0.0
YOUMEJ,4660.97,0.0,4660.97,0.0,2,-100.0,0.0
LIEBRI,4655.2,258.23,0.0,0.0,4,0.0,0.0
MACTHO,4655.0,0.0,0.0,0.0,5,0.0,0.0
MARKIL,4648.639999999999,0.0,0.0,0.0,6,0.0,0.0
BRAKEI,4645.9800000000005,0.0,0.0,0.0,6,0.0,0.0
KADLUB,4643.46,0.0,0.0,0.0,5,0.0,0.0
LEEJAYNV,4639.77,0.0,0.0,0.0,5,0.0,0.0
BREEDW,4636.97,0.0,0.0,0.0,2,0.0,0.0
POGROG,4636.0,0.0,0.0,0.0,5,0.0,0.0
HUVROB,4631.17,0.0,0.0,0.0,7,0.0,0.0
HYAJOH,4624.0,0.0,0.0,0.0,3,0.0,0.0
ESPKEL,4609.96,0.0,0.0,0.0,3,0.0,0.0
KHAINSAU,4609.7,0.0,0.0,0.0,6,0.0,0.0
PIEROB,4600.47,0.0,0.0,0.0,3,0.0,0.0
SLAMIC,4597.95,0.0,0.0,0.0,4,0.0,0.0
BOYJAI,4597.5,0.0,0.0,0.0,2,0.0,0.0
ANGLEOB2,4579.0,0.0,0.0,0.0,7,0.0,0.0
RODAMY,4571.79,0.0,0.0,0.0,5,0.0,0.0
SHUPUNCH,4565.0,0.0,0.0,0.0,4,0.0,0.0
KOUKEI2,4559.76,0.0,0.0,0.0,7,0.0,0.0
PATAKA,4556.5,0.0,0.0,0.0,4,0.0,0.0
BRUANTMER,4556.0,0.0,0.0,0.0,4,0.0,0.0
SABANARO,4550.64,2956.68,1593.96,0.0,6,85.5,0.0
KOWMIC,4544.96,0.0,413.98,0.0,3,-100.0,0.0
