quarter,cy_sales,ly_approx,target,remake_amount,remake_rate
Q1,1376099.32,1383989.9100000001,1480869.2037000002,83175.95999999999,6.04
Q2,418164.30000000005,1383989.9100000001,1480869.2037000002,19891.39,4.76
Q3,0.0,1383989.9100000001,1480869.2037000002,0.0,0.0
Q4,0.0,1383989.9100000001,1480869.2037000002,0.0,0.0
