product_type,ytd,ly,lm
ENCODE GENUINE SCREWMENTABLE TI ABUTMENT,893.98,0.0,0.0
Artistic Call Missing Info,890.0,2442.0,0.0
PROC OVERDENTURE,875.0,26220.13,173.91
BIOHORIZON GENUINE TI ABUTMENT,787.87,551.99,675.1700000000001
Call Doctor - Removable,747.5,17360.39,0.0
UNILATERAL FLEXI PARTIAL,677.3100000000001,105.99,0.0
LINGUAL BAR,642.4300000000001,747.96,259.5
SAME DAY SIMPLE REPAIR,637.83,1142.71,637.83
PHOTOGRAMMETRY PACKAGE 1,612.78,4465.97,0.0
DREAM TAP 3 -SLEEP APP,585.56,0.0,585.56
FLIPPER 1-4 TEETH,543.34,5023.639999999999,313.62
FACEBOW ARTICULATION,539.36,701.95,0.0
ALL ON 4 - TEMP DENTURE W/ SURG GUIDE,525.48,9678.94,6.99
PARTIAL FRAMEWORK,482.84,8104.969999999999,0.0
ORDER PARTS,436.79999999999995,3725.0,0.0
MOS ENCODE SCREWMENTABLE TI ABUTMENT,419.31,0.0,0.0
DIGITAL EMAX LAYERED,378.0,6841.32,0.0
ESSEX APPLIANCE,367.59000000000003,140.0,0.0
DIAGNOSTIC WHITE WAX UP,312.38,74.99,0.0
A04 SURGICAL GUIDE,306.88,0.0,0.0
HERAEUS ARTIC POSTERIOR 1 TOOTH,282.98,359.97,0.0
CLASP METAL,279.09000000000003,0.0,0.0
CLEAR FLEXIBLE PARTIAL W/ CLASPS,263.75,4513.43,0.0
Call Doctor - Digital Impression,261.74,0.0,0.0
CAST PARTIAL FRAME PROCESS AND FINISH,248.94,1278.4,0.0
WIRE REINFORCEMENT,163.99,1035.94,0.0
PROCESSED SURGICAL STENT,154.05,311.98,154.05
LAYERED EMAX,127.49,1024.99,0.0
PRINTED STUDY MODEL 1 ARCH,53.1,0.0,53.1
STL FILE EXPORT,37.19,2129.99,0.0
SNAP ON SMILE 2 ARCHES,10.63,1364.0,0.0
