account_id,ltd_sales,ytd_sales,ly_sales,mtd_sales,lm_sales,q1_sales,q2_sales,q3_sales,q4_sales,ytd_remake,ly_remake,mtd_remake,lm_remake,q1_remake,q2_remake,q3_remake,q4_remake,product_id,product_type,department,product_group,is_implant
RYCJUAFL,7708.17,7708.17,4804.2,0.0,141.18,2932.21,4634.78,141.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADFIX,DIGITAL PRINTED MODEL FIXED (PER ARCH),,,False
RYCJUANL,257.23,257.23,0.0,0.0,0.0,0.0,257.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNEZZ,ARTISTIC EZ,,,False
SABANA,1678.02,1678.02,798.98,0.0,0.0,1145.77,532.25,0.0,0.0,0.0,105.99,0.0,0.0,0.0,0.0,0.0,0.0,CRAHSC,COMFORT H/S BITE SPLINT,,,False
SABANARO,3633.61,3633.61,1593.96,0.0,0.0,1629.1,2004.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SABTRURO,198.22,198.22,0.0,0.0,0.0,0.0,198.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MODSTOREM,STONE MODEL REMOVABLE(PER ARCH),,,False
SACELI,2041.01,2041.01,4201.84,103.47999999999999,1044.3799999999999,300.89,592.26,1147.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SAFHAY,2164.52,2164.52,0.0,0.0,182.1,910.48,1071.94,182.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SAFTAR,5727.97,5727.97,9432.02,0.0,765.01,2286.99,2675.97,765.01,0.0,0.0,180.98000000000002,0.0,0.0,0.0,0.0,0.0,0.0,PARTIALDUR,FLEXI PARTIAL W/ PINK CLASPS,,,False
SAFTARMU,229.72,229.72,2730.2599999999998,0.0,0.0,229.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MODSTOREM,STONE MODEL REMOVABLE(PER ARCH),,,False
SALCHACH,232.47,232.47,0.0,0.0,0.0,232.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
SALMICOP,251.24,251.24,548.2,0.0,0.0,251.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SALNICLAW,4478.389999999999,4478.389999999999,9588.49,0.0,0.0,1945.66,2532.73,0.0,0.0,152.49,1452.49,0.0,0.0,67.5,84.99,0.0,0.0,DELIVERY,Shipping Cost,,,False
SAMAND,9227.7,9227.7,1821.69,0.0,546.59,0.0,8681.11,546.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SAMJACSTC,31936.58,31936.58,56828.39,139.12,4417.93,13131.66,14247.87,4557.05,0.0,96.9,3396.0,0.0,0.0,57.0,39.9,0.0,0.0,CRNBRUX,BRUXZIR,,,False
SANBRA,3158.74,3158.74,0.0,0.0,0.0,1098.0,2060.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGDENTEETH,DIGITAL DENTURE TEETH,,,False
SANHAZ,239.38,239.38,156.0,0.0,0.0,0.0,239.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SANJAM,5849.35,5849.35,15617.41,91.05,882.8,1889.99,2985.51,973.85,0.0,0.0,237.5,0.0,0.0,0.0,0.0,0.0,0.0,DIGEZZCRN,DIGITAL ARTISTIC EZ,,,False
SARDEMRI,33036.71,33036.71,91392.84999999999,0.0,3189.03,17861.46,11986.22,3189.03,0.0,0.0,4246.99,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SARNIL,781.5,781.5,0.0,0.0,0.0,781.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNZAD,ZIRC ADJUST,,,False
SATHAR,804.0300000000001,804.0300000000001,21294.45,0.0,0.0,639.96,164.07,0.0,0.0,0.0,1203.46,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SATHARNA,5541.02,5541.02,2879.82,0.0,0.0,2259.62,3281.4,0.0,0.0,159.98,0.0,0.0,0.0,159.98,0.0,0.0,0.0,CRA,CRA,,,False
SCARAN,2121.28,2121.28,4413.78,0.0,919.96,230.94,970.38,919.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DENREPCOM,COMPLEX REPAIR,,,False
SCHCONBE,0.0,0.0,1320.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.91,0.0,0.0,0.0,0.0,0.0,0.0,CRNZILAYA,LAYERED ZIRC,,,False
SCHJAC,2296.81,2296.81,12444.92,0.0,0.0,0.0,2296.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSSCONSULT,IN OFFICE CONVERSION,,,False
SCHJEF,519.56,519.56,608.97,0.0,148.92,185.32,185.32,148.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELIVERY,Shipping Cost,,,False
SCHJEFOV,130.69,130.69,0.0,0.0,0.0,0.0,130.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DELIVERY,Shipping Cost,,,False
SCHJON,4014.86,4014.86,5354.11,0.0,0.0,1950.05,2064.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DENAO4ZIRC,ALL ON 4 ZIRC DENTURE FINISH W/ H/S COMFORT GUARD,,,False
SCHLAWOH,139.0,139.0,7396.7300000000005,0.0,0.0,139.0,0.0,0.0,0.0,0.0,475.99,0.0,0.0,0.0,0.0,0.0,0.0,DIGCRAHARD,DIGITAL CRA HARD,,,False
SCHMICAO4,1947.0,1947.0,0.0,0.0,0.0,1947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSIOSSCAN,CHAIRSIDE IOS SCAN,,,False
SEERAN,3314.44,3314.44,1224.96,0.0,1252.0,314.21999999999997,1748.22,1252.0,0.0,0.0,353.99,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SEERANNV,928.22,928.22,4705.06,0.0,92.06,467.91999999999996,368.24,92.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SEFDAV,4691.28,4691.28,16337.9,0.0,0.0,2996.99,1694.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MODSTOREM,STONE MODEL REMOVABLE(PER ARCH),,,False
SEHSTE,7450.889999999999,7450.889999999999,9126.05,0.0,662.92,4854.35,1933.62,662.92,0.0,40.41,77.5,0.0,0.0,40.41,0.0,0.0,0.0,DIGEZZCRN,DIGITAL ARTISTIC EZ,,,False
SENWILL,2437.98,2437.98,3338.97,0.0,240.73000000000002,516.97,1680.28,240.73000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DENREPCOM,COMPLEX REPAIR,,,False
SEROSA,898.1700000000001,898.1700000000001,0.0,84.91,563.6500000000001,0.0,249.61,648.5600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
SEROSANV,324.28000000000003,324.28000000000003,0.0,0.0,84.91,0.0,239.37,84.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
SEYHAR,132.6,132.6,3725.0,0.0,0.0,0.0,132.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORDERPARTS,ORDER PARTS,,,False
