account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
YIANIC,228527.66,10592.29,25801.379999999997,377.99,7,10750.58,-1.5,3.57,16620196.44,0.3916851481288293
SAFTAR,225083.16,3510.62,9432.02,0.0,8,3930.01,-10.7,0.0,16845279.599999998,0.39698964204285575
SAMJACSTC,223208.69,19942.39,56828.39,1784.96,9,23678.5,-15.8,8.95,17068488.29,0.4022499606631508
THOJAM,222634.04,11666.11,27645.61,483.0,9,11519.0,1.3,4.14,17291122.33,0.4074967366113609
PATUMAPH,220502.95,1688.95,18431.41,616.0,9,7679.75,-78.0,36.47,17511625.279999997,0.4126932895489502
MOSTIM,214537.6,0.0,2194.69,0.0,8,914.45,-100.0,0.0,17726162.88,0.41774925816752595
KANWOO,211502.44,539.94,23296.68,42.0,7,9706.95,-94.4,7.78,17937665.32,0.42273369772214103
WALBRIOP,211208.47,11996.28,40746.36,2259.96,8,16977.65,-29.3,18.84,18148873.79,0.4277112093392067
ARONIN,206871.4,1945.94,7080.38,50.0,7,2950.16,-34.0,2.57,18355745.189999998,0.4325865100160149
ALBMONWA,203366.53,0.0,4740.96,0.0,7,1975.4,-100.0,0.0,18559111.72,0.4373792120586808
LOVJAM,202491.94,5923.9800000000005,20482.7,1501.99,8,8534.46,-30.6,25.35,18761603.66,0.44215130279780773
KMADAN,201419.59,8413.49,32301.66,587.95,8,13459.02,-37.5,6.99,18963023.25,0.44689812165942633
JURAND,194586.6,13272.47,31999.82,695.0,8,13333.26,-0.5,5.24,19157609.85,0.4514839086878789
LATKIMPAL,187518.33,3289.0,32097.489999999998,0.0,8,13373.95,-75.4,0.0,19345128.18,0.4559031190821768
RHICAT,187444.96,12255.4,36783.39,605.5,7,15326.41,-20.0,4.94,19532573.14,0.46032060037902256
KOLMARFF,187237.33,11697.4,31874.86,0.0,9,13281.19,-11.9,0.0,19719810.47,0.46473318849740314
FORLAU,186834.66,0.0,27780.379999999997,0.0,7,11575.16,-100.0,0.0,19906645.13,0.4691362869650949
BERDANLAP,184248.72,10693.910000000002,16607.81,279.96,8,6919.92,54.5,2.62,20090893.849999998,0.4734784430549026
JOUCYN,181106.39,3493.13,15798.19,0.0,7,6582.58,-46.9,0.0,20272000.24,0.4777465444248421
KASNIK,179611.37,1626.72,13135.34,299.0,8,5473.06,-70.3,18.38,20451611.61,0.4819794129302202
POPDAN,179190.51,1098.0,0.0,0.0,8,0.0,0.0,0.0,20630802.12,0.48620236310448606
MCGROB,178759.52,199.99,5696.25,0.0,8,2373.44,-91.6,0.0,20809561.64,0.4904151562157712
ORNJOSLAP,177225.3,0.0,177.0,0.0,8,73.75,-100.0,0.0,20986786.94,0.49459179264322106
CENJAN,171740.75,0.0,491.71000000000004,0.0,8,204.88,-100.0,0.0,21158527.69,0.49863917567785304
CREJASTP,170945.66,6767.88,30296.26,5986.99,9,12623.44,-46.4,88.46,21329473.35,0.5026678209709937
CHANHWA,170905.82,10633.99,27342.13,869.9100000000001,8,11392.55,-6.7,8.18,21500379.17,0.506695527362097
JUEDAV,168109.3,9674.89,17541.83,0.0,8,7309.1,32.4,0.0,21668488.470000003,0.5106573286747375
KORNAT,164796.98,0.0,1385.83,0.0,8,577.43,-100.0,0.0,21833285.450000003,0.5145410691440819
GOVMON,162477.5,3913.0,8779.25,115.0,6,3658.02,7.0,2.94,21995762.950000003,0.518370146849923
WADAMY,161928.54,2278.98,9617.94,0.0,8,4007.48,-43.1,0.0,22157691.490000002,0.522186287315239
GENPAT,160620.65,5720.59,25317.45,204.99,8,10548.94,-45.8,3.58,22318312.14,0.5259716049746852
COOJAN,159040.41999999998,3063.87,8254.01,0.0,8,3439.17,-10.9,0.0,22477352.560000002,0.5297196816409904
GAMBRI,158545.44,12992.11,19709.31,0.0,8,8212.21,58.2,0.0,22635898.000000004,0.5334560932036175
NISLIN,157787.06,16636.760000000002,31813.55,1954.98,8,13255.65,25.5,11.75,22793685.060000002,0.5371746321626499
MARJOH,154532.0,339.48,0.0,0.0,9,0.0,0.0,0.0,22948217.060000002,0.5408164597143973
TOKNIC,153927.64,12528.539999999999,55715.58,105.99,7,23214.82,-46.0,0.85,23102144.700000003,0.5444440444238907
LIGMAR,153610.02,926.96,758.9200000000001,0.0,8,316.22,193.1,0.0,23255754.720000003,0.548064143840584
OBEGAR,152407.67,14268.53,27656.27,1634.89,7,11523.45,23.8,11.46,23408162.390000004,0.5516559076934017
BRZDANI,149481.0,1732.36,4907.14,0.0,8,2044.64,-15.3,0.0,23557643.390000004,0.5551786992463663
WOOLOR,149076.17,0.0,5111.96,0.0,8,2129.98,-100.0,0.0,23706719.560000006,0.5586919502443148
PONANT,146651.13,1375.98,9044.9,0.0,8,3768.71,-63.5,0.0,23853370.690000005,0.5621480507654293
SINMAN,144516.35,11789.07,21569.120000000003,195.98,7,8987.13,31.2,1.66,23997887.040000007,0.5655538413143639
KENTHO,144283.9,0.0,166.98000000000002,0.0,7,69.58,-100.0,0.0,24142170.940000005,0.5689541537564053
SKRLEO,143428.89,4962.349999999999,16437.18,218.97,8,6848.83,-27.5,4.41,24285599.830000006,0.5723343163332084
