yearmonth,total,remakes,remake_rate
Q1,1399873.05,4349.98,0.31
Q2,1396804.3299999998,5540.11,0.4
Q3,807945.3999999999,3243.5,0.4
Q4,0.0,0.0,0.0
YTD,3604622.78,13133.59,0.36
