account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct
ORNJOSLAP,177225.3,0.0,177.0,0.0,8,73.75,-100.0,0.0
NEWTHO,172273.55,0.0,0.0,0.0,8,0.0,0.0,0.0
CENJAN,171740.75,0.0,491.71000000000004,0.0,8,204.88,-100.0,0.0
DUFROB,171149.38,0.0,0.0,0.0,9,0.0,0.0,0.0
CREJASTP,170945.66,6767.88,30296.26,5986.99,9,12623.44,-46.4,88.46
CHANHWA,170905.82,10633.99,27342.13,869.9100000000001,8,11392.55,-6.7,8.18
JUEDAV,168109.3,9674.89,17541.83,0.0,8,7309.1,32.4,0.0
BERNIC,165810.28,0.0,0.0,0.0,9,0.0,0.0,0.0
JANKEL,165126.97,0.0,0.0,0.0,8,0.0,0.0,0.0
KORNAT,164796.98,0.0,1385.83,0.0,8,577.43,-100.0,0.0
NUGBRI,162959.38999999998,0.0,0.0,0.0,8,0.0,0.0,0.0
GOVMON,162477.5,3913.0,8779.25,115.0,6,3658.02,7.0,2.94
WADAMY,161928.54,2278.98,9617.94,0.0,8,4007.48,-43.1,0.0
HOFSTE,161504.36,0.0,0.0,0.0,8,0.0,0.0,0.0
GENPAT,160620.65,5720.59,25317.45,204.99,8,10548.94,-45.8,3.58
HANLAU,159406.91,0.0,0.0,0.0,8,0.0,0.0,0.0
COOJAN,159040.41999999998,3063.87,8254.01,0.0,8,3439.17,-10.9,0.0
GAMBRI,158545.44,12992.11,19709.31,0.0,8,8212.21,58.2,0.0
NISLIN,157787.06,16636.760000000002,31813.55,1954.98,8,13255.65,25.5,11.75
GENLAR,155209.95,0.0,0.0,0.0,8,0.0,0.0,0.0
MARJOH,154532.0,339.48,0.0,0.0,9,0.0,0.0,0.0
TOKNIC,153927.64,12528.539999999999,55715.58,105.99,7,23214.82,-46.0,0.85
LIGMAR,153610.02,926.96,758.9200000000001,0.0,8,316.22,193.1,0.0
WEYBRY,152768.63,0.0,0.0,0.0,8,0.0,0.0,0.0
OBEGAR,152407.67,14268.53,27656.27,1634.89,7,11523.45,23.8,11.46
RAOCHALITH,151870.49,0.0,0.0,0.0,7,0.0,0.0,0.0
