yearmonth,total_cases,total_remakes,remake_rate_pct
2025-05,2356,224,9.51
2025-06,2334,209,8.95
2025-07,2371,184,7.76
2025-08,2160,190,8.8
2025-09,2346,181,7.72
2025-10,2028,172,8.48
2025-11,2096,199,9.49
2025-12,2278,225,9.88
2026-01,2413,220,9.12
2026-02,2277,247,10.85
2026-03,2450,194,7.92
2026-04,2415,193,7.99
