account_id,ytd_implant_sales,ly_implant_sales,ytd_implant_remakes
MCKJAM,0.0,0.0,0.0
MCMJIL,0.0,0.0,0.0
MANTRE,0.0,0.0,0.0
MANTOD,0.0,0.0,0.0
MANTHO,0.0,0.0,0.0
MANJON,0.0,0.0,0.0
LOVJAM,0.0,0.0,0.0
LOVMIC,0.0,0.0,0.0
LOWKER,0.0,0.0,0.0
LSKDEN,0.0,0.0,0.0
LUKPAU,0.0,0.0,59.98
LUNTRI,0.0,0.0,0.0
LUWEN,0.0,0.0,0.0
LYNFRA,0.0,0.0,0.0
LYNGERLAG,0.0,0.0,0.0
LYNJOH,0.0,0.0,0.0
LYNSHE,0.0,0.0,0.0
LYNSHERF,0.0,0.0,0.0
LYOEVA,0.0,0.0,0.0
LYZWIL,0.0,0.0,0.0
MACERIMU,0.0,3321.0,0.0
MACHAZ,0.0,0.0,0.0
MADABD,0.0,565.0,0.0
MAJMIC,0.0,0.0,0.0
MAKJOS,0.0,0.0,0.0
MALJAM,0.0,0.0,0.0
MANEDWLD,0.0,908.0,789.98
MANGEOOB,0.0,0.0,0.0
MANGEOPR,0.0,0.0,0.0
MCMSUS,0.0,0.0,0.0
MCNJOH,0.0,0.0,0.0
MCNJOHLZ,0.0,819.0,0.0
MUIGEO,0.0,0.0,0.0
MUNART,0.0,0.0,0.0
MURKAR,0.0,0.0,0.0
MURMAR,0.0,0.0,0.0
MUSSCO,0.0,0.0,0.0
MUSSHA,0.0,0.0,0.0
MYCRON,0.0,0.0,0.0
MYEMIT,0.0,0.0,0.0
NAJSAB,0.0,0.0,0.0
NAPSTE,0.0,0.0,0.0
NARMEE,0.0,0.0,0.0
NASJAM,0.0,0.0,0.0
NATKEV,0.0,0.0,0.0
PRILOR,0.0,0.0,0.0
NEETERR,0.0,0.0,0.0
NEWDAV,0.0,0.0,0.0
NEWTHO,0.0,0.0,0.0
NGUJOSCH,0.0,0.0,0.0
NICJEF,0.0,1229.0,0.0
NICMIC,0.0,0.0,0.0
NICRIC,0.0,0.0,0.0
NICVIN,0.0,0.0,0.0
NISLIN,0.0,764.98,0.0
NOHDAV,0.0,0.0,0.0
MUIJOH,0.0,0.0,0.0
MOUTAR,0.0,0.0,0.0
MEDCEL,0.0,0.0,0.0
MOTFAR,0.0,0.0,0.0
MELALL,0.0,0.0,0.0
MEYTHO,0.0,0.0,0.0
MEYTHODS,0.0,0.0,0.0
MICJOH,0.0,0.0,0.0
MICJOHLA,0.0,49.0,0.0
MIJRON,0.0,0.0,0.0
MILJAM,0.0,0.0,0.0
MILMAR,0.0,0.0,0.0
MILNAT,0.0,0.0,0.0
MITLEE,0.0,0.0,0.0
MOHSHA,0.0,0.0,0.0
MOLRYA,0.0,0.0,0.0
MOLRYASH,0.0,0.0,0.0
MOLWIL,0.0,0.0,0.0
