dashboard,new_units,remake_units,remake_discount,net_sales,remake_rate_pct,period,period_start,period_end
Fixed,16452,1756,107994.03,1522593.18,7.09,1/1/2026 – 9/1/2026,2026-01-01,2026-09-01
Removable,6349,470,66856.01,1699156.21,3.93,1/1/2026 – 9/1/2026,2026-01-01,2026-09-01
