quarter,cy_sales,ly_approx,target,remake_amount,remake_rate
Q1,1399873.05,1205920.1,1290334.5070000002,4349.98,0.31
Q2,1351551.53,1205920.1,1290334.5070000002,5283.93,0.39
Q3,0.0,1205920.1,1290334.5070000002,0.0,0.0
Q4,0.0,1205920.1,1290334.5070000002,0.0,0.0
