remake_reason,units,amount,period
Margins,64,0.0,1/1/2026 – 9/9/2026
Fit,62,0.0,1/1/2026 – 9/9/2026
Fracture,46,0.0,1/1/2026 – 9/9/2026
Shade,41,0.0,1/1/2026 – 9/9/2026
Contour/Design,39,0.0,1/1/2026 – 9/9/2026
Contacts,38,0.0,1/1/2026 – 9/9/2026
Occlusion,23,0.0,1/1/2026 – 9/9/2026
NEED,18,0.0,1/1/2026 – 9/9/2026
RX Not followed,16,0.0,1/1/2026 – 9/9/2026
Case Mix-Up,11,0.0,1/1/2026 – 9/9/2026
