remake_reason,count
Case Mix-Up,7
Contacts,18
Contour/Design,18
Dr. Changed Design,2
Fit,35
Fracture,21
Margins,38
NEED,8
Occlusion,9
RX Not followed,6
Shade,17
Undefined,1
