account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
OREBER,26285.35,0.0,0.0,0.0,8,0.0,0.0,66473473.61000007,0.7959035456895693
KAMJOH,26263.75,0.0,0.0,0.0,6,0.0,0.0,66499737.36000007,0.7962180081452361
TYSMONLB,26248.97,7276.6900000000005,18972.28,0.0,5,-61.6,0.0,66525986.330000065,0.7965322936362618
REEDAVCP,26228.48,0.0,0.0,0.0,6,0.0,0.0,66552214.81000006,0.7968463337953864
CORROB,26198.43,0.0,0.0,0.0,7,0.0,0.0,66578413.24000006,0.7971600141583358
THADEVOP,26110.48,1043.95,1383.96,0.0,8,-24.6,0.0,66604523.72000006,0.7974726414739111
ZMEMAG,26099.12,3328.25,3832.94,355.0,8,-13.2,10.67,66630622.840000056,0.7977851327733615
GALPOL,26030.91,0.0,0.0,0.0,6,0.0,0.0,66656653.75000005,0.798096807377401
RASMOSFL,26009.88,9098.710000000001,16911.17,0.0,7,-46.2,0.0,66682663.630000055,0.7984082301839842
DICANT,25944.56,321.22,485.42,0.0,8,-33.8,0.0,66708608.19000006,0.7987188708978501
VANSAG,25929.89,0.0,89.0,0.0,7,-100.0,0.0,66734538.08000006,0.7990293359641324
MANNATPH,25873.86,0.0,4069.71,0.0,6,-100.0,0.0,66760411.94000006,0.7993391301691937
LOPSAR,25813.12,0.0,0.0,0.0,3,0.0,0.0,66786225.060000055,0.7996481971190246
SWAJUL,25782.01,0.0,0.0,0.0,3,0.0,0.0,66812007.07000005,0.799956891581035
UPPSHA,25591.79,0.0,0.0,0.0,6,0.0,0.0,66837598.86000005,0.800263308491351
